state,total cases,date,,,,,,,
Perlis,0,01/05/2021,,,,,,,
Kedah,111,01/05/2021,,,,,,,
Pulau Pinang,133,01/05/2021,,,,,,,
Perak,64,01/05/2021,,,,,,,
Selangor,759,01/05/2021,,,,,,,
Kuala Lumpur,315,01/05/2021,,,,,,,
Putrajaya,3,01/05/2021,,,,,,,
Melaka,54,01/05/2021,,,,,,,
Johor,310,01/05/2021,,,,,,,
Kelantan,442,01/05/2021,,,,,,,
Terengganu,42,01/05/2021,,,,,,,
Negeri Sembilan,89,01/05/2021,,,,,,,
Pahang,47,01/05/2021,,,,,,,
Labuan,3,01/05/2021,,,,,,,
Sabah,64,01/05/2021,,,,,,,
Sarawak,445,01/05/2021,,,,,,,
Perlis,4,02/05/2021,,,,,,,
Kedah,101,02/05/2021,,,,,,,
Pulau Pinang,145,02/05/2021,,,,,,,
Perak,77,02/05/2021,,,,,,,
Selangor,1200,02/05/2021,,,,,,,
Kuala Lumpur,198,02/05/2021,,,,,,,
Putrajaya,8,02/05/2021,,,,,,,
Melaka,61,02/05/2021,,,,,,,
Johor,213,02/05/2021,,,,,,,
Kelantan,400,02/05/2021,,,,,,,
Terengganu,184,02/05/2021,,,,,,,
Negeri Sembilan,73,02/05/2021,,,,,,,
Pahang,45,02/05/2021,,,,,,,
Labuan,7,02/05/2021,,,,,,,
Sabah,115,02/05/2021,,,,,,,
Sarawak,587,02/05/2021,,,,,,,
Perlis,0,03/05/2021,,,,,,,
Kedah,103,03/05/2021,,,,,,,
Pulau Pinang,194,03/05/2021,,,,,,,
Perak,59,03/05/2021,,,,,,,
Selangor,637,03/05/2021,,,,,,,
Kuala Lumpur,200,03/05/2021,,,,,,,
Putrajaya,3,03/05/2021,,,,,,,
Melaka,95,03/05/2021,,,,,,,
Johor,205,03/05/2021,,,,,,,
Kelantan,401,03/05/2021,,,,,,,
Terengganu,38,03/05/2021,,,,,,,
Negeri Sembilan,97,03/05/2021,,,,,,,
Pahang,55,03/05/2021,,,,,,,
Labuan,0,03/05/2021,,,,,,,
Sabah,57,03/05/2021,,,,,,,
Sarawak,356,03/05/2021,,,,,,,
Perlis,0,04/05/2021,,,,,,,
Kedah,155,04/05/2021,,,,,,,
Pulau Pinang,167,04/05/2021,,,,,,,
Perak,117,04/05/2021,,,,,,,
Selangor,675,04/05/2021,,,,,,,
Kuala Lumpur,408,04/05/2021,,,,,,,
Putrajaya,11,04/05/2021,,,,,,,
Melaka,52,04/05/2021,,,,,,,
Johor,336,04/05/2021,,,,,,,
Kelantan,296,04/05/2021,,,,,,,
Terengganu,53,04/05/2021,,,,,,,
Negeri Sembilan,95,04/05/2021,,,,,,,
Pahang,41,04/05/2021,,,,,,,
Labuan,5,04/05/2021,,,,,,,
Sabah,89,04/05/2021,,,,,,,
Sarawak,620,04/05/2021,,,,,,,
Perlis,1,05/05/2021,,,,,,,
Kedah,124,05/05/2021,,,,,,,
Pulau Pinang,195,05/05/2021,,,,,,,
Perak,65,05/05/2021,,,,,,,
Selangor,1548,05/05/2021,,,,,,,
Kuala Lumpur,313,05/05/2021,,,,,,,
Putrajaya,11,05/05/2021,,,,,,,
Melaka,43,05/05/2021,,,,,,,
Johor,292,05/05/2021,,,,,,,
Kelantan,480,05/05/2021,,,,,,,
Terengganu,73,05/05/2021,,,,,,,
Negeri Sembilan,76,05/05/2021,,,,,,,
Pahang,49,05/05/2021,,,,,,,
Labuan,5,05/05/2021,,,,,,,
Sabah,50,05/05/2021,,,,,,,
Sarawak,419,05/05/2021,,,,,,,
Perlis,3,06/05/2021,,,,,,,
Kedah,112,06/05/2021,,,,,,,
Pulau Pinang,305,06/05/2021,,,,,,,
Perak,137,06/05/2021,,,,,,,
Selangor,1137,06/05/2021,,,,,,,
Kuala Lumpur,477,06/05/2021,,,,,,,
Putrajaya,12,06/05/2021,,,,,,,
Melaka,82,06/05/2021,,,,,,,
Johor,258,06/05/2021,,,,,,,
Kelantan,326,06/05/2021,,,,,,,
Terengganu,58,06/05/2021,,,,,,,
Negeri Sembilan,85,06/05/2021,,,,,,,
Pahang,97,06/05/2021,,,,,,,
Labuan,2,06/05/2021,,,,,,,
Sabah,69,06/05/2021,,,,,,,
Sarawak,391,06/05/2021,,,,,,,
